Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,83300,90000,83000,88800,86758.75,59013307
2021-01-11,90000,96800,89500,91000,88908.17969,90306177
2021-01-12,90300,91400,87800,90600,88517.36719,48682416
2021-01-13,89800,91200,89100,89700,87638.0625,36068848
2021-01-14,88700,90000,88700,89700,87638.0625,26393970
2021-01-15,89800,91800,88000,88000,85977.14063,33431809
2021-01-18,86600,87300,84100,85000,83046.09375,43227951
2021-01-19,84500,88000,83600,87000,85000.11719,39895044
2021-01-20,89000,89000,86500,87200,85195.53125,25211127
2021-01-21,87500,88600,86500,88100,86074.82813,25318011
2021-01-22,89000,89700,86800,86800,84804.71875,30861661
2021-01-25,87000,89900,86300,89400,87344.95313,27258534
2021-01-26,88800,89200,86500,86700,84707.01563,33178936
2021-01-27,86600,87700,85600,85600,83632.30469,26423070
2021-01-28,83200,85600,83200,83700,81775.98438,31859808
2021-01-29,84500,85000,82000,82000,80115.05469,39615978
2021-02-01,81700,83400,81000,83000,81092.07031,28046832
2021-02-02,84100,86400,83700,84400,82459.89063,26302077
2021-02-03,84800,85400,83400,84600,82655.28906,22112205
2021-02-04,83500,83800,82100,82500,80603.57031,24171688
2021-02-05,83100,84000,82500,83500,81580.58594,18036835
2021-02-08,83800,84200,83000,83000,81092.07031,15338765
2021-02-09,84000,84800,82700,82700,80798.96094,20898332
2021-02-10,82600,82600,81600,81600,79724.25,23025766
2021-02-15,83800,84500,83300,84200,82264.49219,23529706
2021-02-16,84500,86000,84200,84900,82948.39063,20483100
2021-02-17,83900,84200,83000,83200,81287.46875,18307735
2021-02-18,83200,83600,82100,82100,80212.76563,21327683
2021-02-19,82300,82800,81000,82600,80701.27344,25880879
2021-02-22,83800,84200,82200,82200,80310.45313,25419886
2021-02-23,81200,82900,81100,82000,80115.05469,20587314
2021-02-24,81800,83600,81300,82000,80115.05469,26807651
2021-02-25,84000,85400,83000,85300,83339.20313,34155986
2021-02-26,82800,83400,82000,82500,80603.57031,38520800
2021-03-02,85100,85300,83000,83600,81678.27344,33498180
2021-03-03,83500,84000,82800,84000,82069.08594,19882132
2021-03-04,82600,83200,82200,82400,80505.86719,24348331
2021-03-05,81100,82600,81100,82100,80212.76563,20508971
2021-03-08,82900,83000,81600,82000,80115.05469,17641256
2021-03-09,81400,81900,80600,81400,79528.85156,25420764
2021-03-10,82400,82500,80700,80900,79040.33594,20038422
2021-03-11,81000,82500,81000,82000,80115.05469,23818297
2021-03-12,83100,83500,82400,82800,80896.67188,13530573
2021-03-15,82800,82900,81800,81800,79919.66406,13735798
2021-03-16,82200,83000,82100,82800,80896.67188,12293537
2021-03-17,82800,82900,82000,82300,80408.15625,11625146
2021-03-18,82800,83800,82600,82900,80994.375,18585244
2021-03-19,82100,82500,81800,81900,80017.35156,15869700
2021-03-22,82000,82300,81700,82000,80115.05469,12670506
2021-03-23,82600,82900,81800,81800,79919.66406,13299907
2021-03-24,81000,81600,80700,81000,79138.05469,17926638
2021-03-25,81000,82100,80800,81200,79333.44531,14758826
2021-03-26,81400,81600,81000,81500,79626.54688,12845778
2021-03-29,81700,81700,81000,81600,79724.25,14952134
2021-03-30,81600,82300,81300,82200,80667.33594,13121698
2021-03-31,82400,82700,81400,81400,79882.25781,17240518
2021-04-01,82500,83000,82000,82900,81354.28906,18676461
2021-04-02,84000,85200,83900,84800,83218.85938,22997538
2021-04-05,85800,86000,84800,85400,83807.66406,16255990
2021-04-06,86200,86200,85100,86000,84396.49219,19042023
2021-04-07,86100,86200,85400,85600,84003.94531,17885538
2021-04-08,85700,85700,84100,84700,83120.71875,19244259
2021-04-09,84700,84900,83400,83600,82041.22656,18193707
2021-04-12,84100,84100,83100,83200,81648.69531,12915282
2021-04-13,83000,84500,82800,84000,82433.77344,15238206
2021-04-14,84000,84300,83400,84000,82433.77344,13794652
2021-04-15,83700,84500,83400,84100,82531.90625,16377412
2021-04-16,84700,84700,83600,83900,82335.63281,15429522
2021-04-19,83800,84000,83300,83300,81746.82813,15287311
2021-04-20,83300,84000,83100,83900,82335.63281,15521965
2021-04-21,83300,83500,82500,82600,81059.875,21636079
2021-04-22,82900,83000,82400,82400,80863.60938,13934746
2021-04-23,81900,82900,81600,82800,81256.14844,17805080
2021-04-26,82900,83500,82600,83500,81943.10156,15489938
2021-04-27,83200,83300,82500,82900,81354.28906,12941533
2021-04-28,83200,83200,82100,82100,80569.20313,15596759
2021-04-29,82400,82500,81500,81700,80176.66406,20000973
2021-04-30,81900,82100,81500,81500,79980.39063,18673197
2021-05-03,81000,82400,81000,81700,80176.66406,15710336
2021-05-04,81900,82600,81800,82600,81059.875,12532550
2021-05-06,81700,82300,81700,82300,80765.47656,17047511
2021-05-07,81800,82100,81500,81900,80372.9375,14154882
2021-05-10,82300,83500,81800,83200,81648.69531,19385027
2021-05-11,82500,82600,81100,81200,79685.98438,28996680
2021-05-12,80800,81200,79800,80000,78508.35156,35812268
2021-05-13,78900,79600,78400,78500,77036.32813,31490096
2021-05-14,79000,80300,78900,80100,78606.49219,16450920
2021-05-17,80800,80900,79200,79600,78115.8125,17740855
2021-05-18,79600,80000,79100,79600,78115.8125,17494407
2021-05-20,79400,79700,79100,79500,78017.67188,16541828
2021-05-21,80100,81500,79800,80100,78606.49219,20961714
2021-05-24,80100,80400,79500,79700,78213.94531,13398666
2021-05-25,80000,80400,79800,79900,78410.21875,13628942
2021-05-26,80400,80500,79700,79800,78312.08594,11984359
2021-05-27,80000,80000,79100,79600,78115.8125,23198510
2021-05-28,79800,80400,79400,80100,78606.49219,12360199
2021-05-31,80300,80600,79600,80500,78999.03125,13321324
2021-06-01,80500,81300,80100,80600,79097.16406,14058401
2021-06-02,80400,81400,80300,80800,79293.42969,16414644
2021-06-03,81300,83000,81100,82800,81256.14844,29546007
2021-06-04,82700,82700,81500,82200,80667.33594,18112259
2021-06-07,82700,82800,81600,81900,80372.9375,16496197
2021-06-08,82300,82600,81800,81900,80372.9375,12781226
2021-06-09,81500,82000,81100,81100,79587.85156,14908823
2021-06-10,81300,81400,80900,81000,79489.70313,17586995
2021-06-11,81200,81700,80700,81000,79489.70313,14087962
2021-06-14,80800,80900,80500,80500,78999.03125,10550078
2021-06-15,80900,81200,80600,80900,79391.57031,10075685
2021-06-16,81500,81900,81100,81800,80274.78906,14999855
2021-06-17,81100,81300,80700,80900,79391.57031,14007385
2021-06-18,81100,81100,80500,80500,78999.03125,14916721
2021-06-21,79700,80000,79600,79900,78410.21875,16063340
2021-06-22,80200,80300,79900,80000,78508.35156,11773365
2021-06-23,80500,80600,79900,80100,78606.49219,13856548
2021-06-24,80400,81400,80100,81200,79685.98438,18771080
2021-06-25,81500,81900,81200,81600,80078.53125,13481405
2021-06-28,81700,82000,81600,81900,80372.9375,11578529
2021-06-29,81900,82100,80800,81000,79841.63281,15744317
